A,0,0,1.0
A,0,1,1.0
A,0,2,1.0
A,0,3,1.0
A,0,4,1.0
A,0,5,1.0
A,0,6,1.0
A,0,7,1.0
A,1,0,1.0
A,1,1,1.0
A,1,2,1.0
A,1,3,1.0
A,1,4,1.0
A,1,5,1.0
A,1,6,1.0
A,1,7,1.0
A,2,0,1.0
A,2,1,1.0
A,2,2,1.0
A,2,3,1.0
A,2,4,1.0
A,2,5,1.0
A,2,6,1.0
A,2,7,1.0
A,3,0,1.0
A,3,1,1.0
A,3,2,1.0
A,3,3,1.0
A,3,4,1.0
A,3,5,1.0
A,3,6,1.0
A,3,7,1.0
A,4,0,1.0
A,4,1,1.0
A,4,2,1.0
A,4,3,1.0
A,4,4,1.0
A,4,5,1.0
A,4,6,1.0
A,4,7,1.0
A,5,0,1.0
A,5,1,1.0
A,5,2,1.0
A,5,3,1.0
A,5,4,1.0
A,5,5,1.0
A,5,6,1.0
A,5,7,1.0
A,6,0,1.0
A,6,1,1.0
A,6,2,1.0
A,6,3,1.0
A,6,4,1.0
A,6,5,1.0
A,6,6,1.0
A,6,7,1.0
A,7,0,1.0
A,7,1,1.0
A,7,2,1.0
A,7,3,1.0
A,7,4,1.0
A,7,5,1.0
A,7,6,1.0
A,7,7,1.0
B,0,0,1.0
B,0,1,1.0
B,0,2,1.0
B,0,3,1.0
B,0,4,1.0
B,0,5,1.0
B,0,6,1.0
B,0,7,1.0
B,1,0,1.0
B,1,1,1.0
B,1,2,1.0
B,1,3,1.0
B,1,4,1.0
B,1,5,1.0
B,1,6,1.0
B,1,7,1.0
B,2,0,1.0
B,2,1,1.0
B,2,2,1.0
B,2,3,1.0
B,2,4,1.0
B,2,5,1.0
B,2,6,1.0
B,2,7,1.0
B,3,0,1.0
B,3,1,1.0
B,3,2,1.0
B,3,3,1.0
B,3,4,1.0
B,3,5,1.0
B,3,6,1.0
B,3,7,1.0
B,4,0,1.0
B,4,1,1.0
B,4,2,1.0
B,4,3,1.0
B,4,4,1.0
B,4,5,1.0
B,4,6,1.0
B,4,7,1.0
B,5,0,1.0
B,5,1,1.0
B,5,2,1.0
B,5,3,1.0
B,5,4,1.0
B,5,5,1.0
B,5,6,1.0
B,5,7,1.0
B,6,0,1.0
B,6,1,1.0
B,6,2,1.0
B,6,3,1.0
B,6,4,1.0
B,6,5,1.0
B,6,6,1.0
B,6,7,1.0
B,7,0,1.0
B,7,1,1.0
B,7,2,1.0
B,7,3,1.0
B,7,4,1.0
B,7,5,1.0
B,7,6,1.0
B,7,7,1.0
