A,0,1,1.0
A,0,2,2.0
A,0,3,3.0
A,0,4,4.0
A,0,5,5.0
A,0,6,6.0
A,0,7,7.0
A,1,0,8.0
A,1,1,9.0
A,1,2,10.0
A,1,3,11.0
A,1,4,12.0
A,1,5,13.0
A,1,6,14.0
A,1,7,15.0
A,2,0,16.0
A,2,1,17.0
A,2,2,18.0
A,2,3,19.0
A,2,4,20.0
A,2,5,21.0
A,2,6,22.0
A,2,7,23.0
A,3,0,24.0
A,3,1,25.0
A,3,2,26.0
A,3,3,27.0
A,3,4,28.0
A,3,5,29.0
A,3,6,30.0
A,3,7,31.0
A,4,0,32.0
A,4,1,33.0
A,4,2,34.0
A,4,3,35.0
A,4,4,36.0
A,4,5,37.0
A,4,6,38.0
A,4,7,39.0
A,5,0,40.0
A,5,1,41.0
A,5,2,42.0
A,5,3,43.0
A,5,4,44.0
A,5,5,45.0
A,5,6,46.0
A,5,7,47.0
A,6,0,48.0
A,6,1,49.0
A,6,2,50.0
A,6,3,51.0
A,6,4,52.0
A,6,5,53.0
A,6,6,54.0
A,6,7,55.0
A,7,0,56.0
A,7,1,57.0
A,7,2,58.0
A,7,3,59.0
A,7,4,60.0
A,7,5,61.0
A,7,6,62.0
A,7,7,63.0
B,0,1,1.0
B,0,2,2.0
B,0,3,3.0
B,0,4,4.0
B,0,5,5.0
B,0,6,6.0
B,0,7,7.0
B,1,0,8.0
B,1,1,9.0
B,1,2,10.0
B,1,3,11.0
B,1,4,12.0
B,1,5,13.0
B,1,6,14.0
B,1,7,15.0
B,2,0,16.0
B,2,1,17.0
B,2,2,18.0
B,2,3,19.0
B,2,4,20.0
B,2,5,21.0
B,2,6,22.0
B,2,7,23.0
B,3,0,24.0
B,3,1,25.0
B,3,2,26.0
B,3,3,27.0
B,3,4,28.0
B,3,5,29.0
B,3,6,30.0
B,3,7,31.0
B,4,0,32.0
B,4,1,33.0
B,4,2,34.0
B,4,3,35.0
B,4,4,36.0
B,4,5,37.0
B,4,6,38.0
B,4,7,39.0
B,5,0,40.0
B,5,1,41.0
B,5,2,42.0
B,5,3,43.0
B,5,4,44.0
B,5,5,45.0
B,5,6,46.0
B,5,7,47.0
B,6,0,48.0
B,6,1,49.0
B,6,2,50.0
B,6,3,51.0
B,6,4,52.0
B,6,5,53.0
B,6,6,54.0
B,6,7,55.0
B,7,0,56.0
B,7,1,57.0
B,7,2,58.0
B,7,3,59.0
B,7,4,60.0
B,7,5,61.0
B,7,6,62.0
B,7,7,63.0
